CurriculumID,CurriculumName,Credits,GraduateLevelID,CurriculumGroupID,DepartmentID,ForeignName
1252090,Tkế thời trang trên máy VT(TN),2,DH,GC,652,Computer Aided Fashion Design
1252091,T.Kế T.Trang trên máy VT(TN-08,3,DH,GC,652,Computer-Aided Fashion Design
1252101,Thiết kế thời trang 1 (cơ bản),4,DH,NC,652,Fashion Design 1
1252102,Thiết kế thời trang 2 (DH),3,DH,NC,652,Fashion Design 2
1252103,Thiết kế thời trang 3 (TT),1,DH,NC,652,Fashion Design 3
1252104,Thiết kế thời trang 4 (AT),2,DH,NC,652,Fashion Design 4
1252110,Marketing (MCN),3,DH,NC,652,Marketing
1252112,TT Thiết kế thời trang 2 (K.08,1,DH,NC,652,Fashion Design Practice 2
1252113,TT Thiết kế thời trang 3 (TT),1,DH,NC,652,Fashion Design Practice 3
1252114,TT Thiết kế thời trang 4 (AT),1,DH,NC,652,Fashion Design Practice 4
1252120,Đồ án môn học TKTT,1,DH,NC,652,Fashion Design Project
1252123,Thiết kế thời trang 3 (K.08),2,DH,NC,652,Fashion Design 3
1252130,Thiết kế thời trang trên máyVT,2,DH,NC,652,Computer Aided Fashion Design
1252140,TT TKế thời trang trên máy VT,1,DH,NC,652,Computer-Aided Fashion Design Practice
1252150,Cơ sở văn hóa VN- KTNC (TN-K08,2,DH,GC,652,Vietnamese Culture
1252200,Khóa luận tốt nghiệp TKT,7,DH,CC,652,Graduation Thesis
1252320,Thiết kế thời trang,2,DH,NC,652,Fashion Design
1252330,TT Ngoại khóa (Vẽ ngoại cảnh),6,DH,NC,652,Outdoor Painting Practice
1252340,Khảo sát thị trường,4,DH,NC,652,Market Survey
1252350,Thiết kế thời trang nâng cao,3,DH,NC,652,Advanced Fashion Design
1252360,Tổ chức sự kiện,3,DH,NC,652,Event Organization
1252370,TT. Thời trang trên Maniquin,1,DH,NC,652,Manequin Fashion Practice
1256010,Công nghệ xử lý ảnh kỹ thuật số,3,DH,NC,556,Digital Image Processing Technology
1256020,Công nghệ chế tạo khuôn in,4,DH,NC,556,Plate Making Technology
1256030,Nghệ thuật trình bày ấn phẩm,3,DH,NC,556,Graphic Design
1256040,Đồ họa vi tính,4,DH,NC,556,Computer Graphics
1256050,Xử lý ảnh,4,DH,NC,556,Image Processing
1256060,RIP và các thiết bị ghi,2,DH,NC,556,RIP and Recorders
1256070,Kỹ thuật dàn trang,2,DH,NC,556,Layout Techniques
